#,Name / Organization,Why They're Influential / Funding Interest,Contact Info (Nostr pubkey is often best),Likely Events to Attend
A. Top Tier & Direct Funders,,,,
1,Jack Dorsey,(Proponent/Funder) Co-founder of Block; provided foundational grants for Nostr projects. His support is a primary catalyst.,Nostr: npub1sg6plzptd64u62a878hep2kev88swjh3tw00gjsfl8f237lmu63q0kmjv0 <br> X: @jack,"Bitcoin Conference, Major tech/Bitcoin events"
2,OpenSats,(Grant Program) The leading non-profit for funding FOSS Bitcoin and Nostr projects via a formal application process.,Website: opensats.org <br> X: @OpenSats,"Bitcoin Conference, BTC Prague, TABConf"
3,Spiral,"(Grant Program) Block-subsidiary focused on FOSS Bitcoin development grants, including Nostr infrastructure.",Website: spiral.xyz <br> X: @spiralbtc,Major Bitcoin developer conferences
4,Wolf NYC,(Venture Capital) VC firm focused on funding Bitcoin & Lightning Network startups. Requires a formal pitch.,Website: wolfnyc.com <br> X: @wolfnyc,"Bitcoin Conference, VC and tech industry events"
5,fiatjaf (João Bondin),"(Protocol Creator) Creator of the Nostr protocol. Not a funder, but his validation is the highest form of influence.",Nostr: npub180cvv07tjdr911wdy2mmwa5s3nx7gflaz8f6cm0wv3ryls3jqsjq003pyg <br> GitHub: fiatjaf,Nostr-specific developer meetups
6,Human Rights Foundation,"(Grant Program) Their Bitcoin Dev Fund supports projects enhancing privacy and freedom, a core use case for Nostr.",Website: hrf.org/devfund <br> X: @HRF,"Oslo Freedom Forum, Tech/Human Rights events"
7,UTXO Management,(Venture Capital) Investment firm run by David Bailey and others. Invests across the Bitcoin ecosystem.,Website: utxo.management <br> X: @UTXOManagement,Bitcoin Conference (they run it)
8,Ten31,(Venture Capital) VC firm investing in companies building on the Bitcoin protocol stack.,Website: ten31.vc <br> X: @TEN31vc,"Bitcoin Conference, Value of Bitcoin Conf"
B. Key Developers & App Founders,,,,
9,William Casarin (jb55),"(App Founder) Founder of Damus, one of the first and most popular mobile Nostr clients.",Nostr: npub1xtscya34g58tk0z605fvr788k263gsu6cy9x0mhnm87echrgufzsevkk5s <br> X: @jb55,"NostrVille, Bitcoin Conference"
10,Vitor Pamplona,"(App Founder) Founder of Amethyst, the most popular Android client for Nostr.",Nostr: npub1zuuajd7u3sx8xu92yav9j2vynwgk7zkwre3pyrs30zmyydefllqsw2rtnp <br> X: @vitorpamplona,"Developer meetups, may attend major conferences"
11,Miljan,"(App Founder) Founder of Primal.net, a comprehensive web client and caching service for Nostr.",Nostr: npub1h8sntj2z5vft8f99yhkdk8ly5v2crp79s7un82xaska7p8z5mhws2g6vrs <br> X: @miljanm,European Bitcoin conferences
12,Pablof7z,"(Developer) Creator of Snort.social client and nostr-sdk, a foundational library for many developers.",Nostr: npub1z4m7g2p2f5dsalmhfy2p04mppa5wunr5f2etn0s4n982xweq96cs0ksevz <br> X: @pablof7z,"Developer meetups, possibly Spanish events"
13,Walker,"(App Founder) Founder of Fountain, a Podcasting 2.0 app that heavily integrates Nostr and Lightning.",Nostr: npub14z0gs0qmmmm799p4h6n2ca8xefqlzzp3ghkj7nchrf6z5pda7g6swz53g2 <br> X: @walker,"Podcasting events, Adopting Bitcoin"
14,Giszmo,"(App Founder) Founder of FreeFrom, a blogging platform built on Nostr.",Nostr: npub15z6t2p5wsgt26wzaseyqurnw9u3p9zpu2xfqg3ep0h6vskk0w45swjptqf <br> X: @giszmo,Likely attends European Bitcoin events
15,Jeff G,"(Developer) Creator of Nostr.Band, a critical search and data service for the ecosystem.",Nostr: npub137cqqqj7kwa2k3a9k6njfche2rhg0za4c0h53gp5n2h0en2w4csqn3lnac <br> X: @JeffGeist,Online / Developer communities
16,Nitesh,"(App Founder) Founder of Iris, one of the earliest and most feature-rich web clients.",Nostr: npub1nv4a4gzu3q5hku9g25j5mv0e3p9j9h9y5y63wtrya8w09t5psv5q0amj54 <br> X: @niteshbal,"Active online, likely attends dev events"
17,Berkin,"(App Founder) Creator of Coracle, a web client focused on navigation and discovery.",Nostr: npub13q3s2c9gvpxa2m0qj9vxxg4ckp5ef3n9fxa3s0vclhacp970a0xq5nkaxw <br> GitHub: hellolen,Online / Developer communities
18,Semisol,(Developer) Key contributor to NIPs and Nostr libraries. Influential in protocol direction.,Nostr: npub1semisolpr69uxf59kza27wmedef26622unhqaashqf5y2kfxp3et7q76q83k <br> GitHub: semisol,Online / Developer communities
19,Kieran,(Developer) Core developer at Damus.,Nostr: npub1cutedqpe0q00d9gdd2pds05ewk5e2jd7l7y4fe079ankg228f4wqz0y9w4 <br> X: @KieranDineen,Active in Nostr development circles
20,Hodlwave,"(App Founder) Creator of NostrAssets, a protocol for assets on Nostr.",Nostr: npub18kh5p0ajzdrhs4dlf0p3g6fn8uz095x2rh42p4t703fayg2n2qqqnhzzjg <br> X: @hodlwave,Asian Bitcoin/Nostr meetups
"C. Influencers, Evangelists & Community Builders",,,,
